name,time
heavyLoadBenchmark_T4x20000, 8418333
heavyLoadBenchmark_T4x20000, 8429000
heavyLoadBenchmark_T4x20000, 8423916
heavyLoadBenchmark_T4x20000, 8349583
heavyLoadBenchmark_T4x20000, 8420666
heavyLoadBenchmark_T4x20000, 8378458
heavyLoadBenchmark_T4x20000, 8436708
heavyLoadBenchmark_T4x20000, 8412667
heavyLoadBenchmark_T4x20000, 8484000
heavyLoadBenchmark_T4x20000, 8358833
heavyLoadBenchmark_T4x20000, 8426792
heavyLoadBenchmark_T4x20000, 8338083
heavyLoadBenchmark_T4x20000, 8404750
heavyLoadBenchmark_T4x20000, 8407667
heavyLoadBenchmark_T4x20000, 8448958
heavyLoadBenchmark_T4x20000, 8371666
heavyLoadBenchmark_T4x20000, 8398417
heavyLoadBenchmark_T4x20000, 8358417
heavyLoadBenchmark_T4x20000, 8396084
heavyLoadBenchmark_T4x20000, 8384500
heavyLoadBenchmark_T4x20000, 8400458
heavyLoadBenchmark_T4x20000, 8363500
heavyLoadBenchmark_T4x20000, 8396792
heavyLoadBenchmark_T4x20000, 8381958
heavyLoadBenchmark_T4x20000, 8393333
heavyLoadBenchmark_T4x20000, 8733125
heavyLoadBenchmark_T4x20000, 8428042
heavyLoadBenchmark_T4x20000, 8278583
heavyLoadBenchmark_T4x20000, 8375917
heavyLoadBenchmark_T4x20000, 8378334
heavyLoadBenchmark_T4x20000, 8373666
heavyLoadBenchmark_T4x20000, 8406750
heavyLoadBenchmark_T4x20000, 8432834
heavyLoadBenchmark_T4x20000, 8380791
heavyLoadBenchmark_T4x20000, 8357083
heavyLoadBenchmark_T4x20000, 8311000
heavyLoadBenchmark_T4x20000, 8372708
heavyLoadBenchmark_T4x20000, 8379625
heavyLoadBenchmark_T4x20000, 8383458
heavyLoadBenchmark_T4x20000, 8401417
heavyLoadBenchmark_T4x20000, 8374125
heavyLoadBenchmark_T4x20000, 8420500
heavyLoadBenchmark_T4x20000, 8358708
heavyLoadBenchmark_T4x20000, 8414500
heavyLoadBenchmark_T4x20000, 8381375
heavyLoadBenchmark_T4x20000, 8324583
heavyLoadBenchmark_T4x20000, 8340792
heavyLoadBenchmark_T4x20000, 8292708
heavyLoadBenchmark_T4x20000, 8393875
heavyLoadBenchmark_T4x20000, 8379833
heavyLoadBenchmark_T4x20000, 8334000
heavyLoadBenchmark_T4x20000, 8340833
heavyLoadBenchmark_T4x20000, 8410125
heavyLoadBenchmark_T4x20000, 8345542
heavyLoadBenchmark_T4x20000, 8405125
heavyLoadBenchmark_T4x20000, 8380708
heavyLoadBenchmark_T4x20000, 8370666
heavyLoadBenchmark_T4x20000, 8358167
heavyLoadBenchmark_T4x20000, 8356959
heavyLoadBenchmark_T4x20000, 8392208
heavyLoadBenchmark_T4x20000, 8343542
heavyLoadBenchmark_T4x20000, 8393875
heavyLoadBenchmark_T4x20000, 8370167
heavyLoadBenchmark_T4x20000, 8351709
heavyLoadBenchmark_T4x20000, 8359417
heavyLoadBenchmark_T4x20000, 8393166
heavyLoadBenchmark_T4x20000, 8380042
heavyLoadBenchmark_T4x20000, 8461875
heavyLoadBenchmark_T4x20000, 8326209
heavyLoadBenchmark_T4x20000, 8375625
heavyLoadBenchmark_T4x20000, 8342625
heavyLoadBenchmark_T4x20000, 8388125
heavyLoadBenchmark_T4x20000, 8466708
heavyLoadBenchmark_T4x20000, 8370750
heavyLoadBenchmark_T4x20000, 8360542
heavyLoadBenchmark_T4x20000, 8380292
heavyLoadBenchmark_T4x20000, 8391500
heavyLoadBenchmark_T4x20000, 8317917
heavyLoadBenchmark_T4x20000, 8395417
heavyLoadBenchmark_T4x20000, 8329041
heavyLoadBenchmark_T4x20000, 8372584
heavyLoadBenchmark_T4x20000, 8369959
heavyLoadBenchmark_T4x20000, 8395000
heavyLoadBenchmark_T4x20000, 8218500
heavyLoadBenchmark_T4x20000, 8265000
heavyLoadBenchmark_T4x20000, 8456958
heavyLoadBenchmark_T4x20000, 8352125
heavyLoadBenchmark_T4x20000, 8327417
heavyLoadBenchmark_T4x20000, 8353625
heavyLoadBenchmark_T4x20000, 8304625
heavyLoadBenchmark_T4x20000, 8337209
heavyLoadBenchmark_T4x20000, 8417250
heavyLoadBenchmark_T4x20000, 8301000
heavyLoadBenchmark_T4x20000, 8358000
heavyLoadBenchmark_T4x20000, 8380417
heavyLoadBenchmark_T4x20000, 8347875
heavyLoadBenchmark_T4x20000, 8329000
heavyLoadBenchmark_T4x20000, 8451625
heavyLoadBenchmark_T4x20000, 8362959
heavyLoadBenchmark_T4x20000, 8316500
heavyLoadBenchmark_T4x20000, 8361042
heavyLoadBenchmark_T4x20000, 8310959
heavyLoadBenchmark_T4x20000, 8356958
heavyLoadBenchmark_T4x20000, 8398250
heavyLoadBenchmark_T4x20000, 8371917
heavyLoadBenchmark_T4x20000, 8351875
heavyLoadBenchmark_T4x20000, 8257709
heavyLoadBenchmark_T4x20000, 8231166
heavyLoadBenchmark_T4x20000, 8349833
heavyLoadBenchmark_T4x20000, 8433292
heavyLoadBenchmark_T4x20000, 8406041
heavyLoadBenchmark_T4x20000, 8367000
heavyLoadBenchmark_T4x20000, 8363417
heavyLoadBenchmark_T4x20000, 8592125
heavyLoadBenchmark_T4x20000, 8348625
heavyLoadBenchmark_T4x20000, 8433958
heavyLoadBenchmark_T4x20000, 8382250
heavyLoadBenchmark_T4x20000, 8364000
heavyLoadBenchmark_T4x20000, 8463750
heavyLoadBenchmark_T4x20000, 8583250
heavyLoadBenchmark_T4x20000, 8332250
heavyLoadBenchmark_T4x20000, 8380167
heavyLoadBenchmark_T4x20000, 8391125
heavyLoadBenchmark_T4x20000, 8390000
heavyLoadBenchmark_T4x20000, 8309917
heavyLoadBenchmark_T4x20000, 8489000
heavyLoadBenchmark_T4x20000, 8397958
heavyLoadBenchmark_T4x20000, 8461917
heavyLoadBenchmark_T4x20000, 8413125
heavyLoadBenchmark_T4x20000, 8377041
heavyLoadBenchmark_T4x20000, 8388917
heavyLoadBenchmark_T4x20000, 8376000
heavyLoadBenchmark_T4x20000, 8405125
heavyLoadBenchmark_T4x20000, 8440042
heavyLoadBenchmark_T4x20000, 8346959
heavyLoadBenchmark_T4x20000, 8589125
heavyLoadBenchmark_T4x20000, 8353833
heavyLoadBenchmark_T4x20000, 8377084
heavyLoadBenchmark_T4x20000, 8373250
heavyLoadBenchmark_T4x20000, 8399292
heavyLoadBenchmark_T4x20000, 8350667
heavyLoadBenchmark_T4x20000, 8555625
heavyLoadBenchmark_T4x20000, 8359708
heavyLoadBenchmark_T4x20000, 8339625
heavyLoadBenchmark_T4x20000, 8335750
heavyLoadBenchmark_T4x20000, 9048708
